
id;node1id;node2id;length;distance;curveness;volume;avgCrossSection;minRadiusAvg;minRadiusStd;avgRadiusAvg;avgRadiusStd;maxRadiusAvg;maxRadiusStd;roundnessAvg;roundnessStd;node1_degree;node2_degree;num_voxels;hasNodeAtSampleBorder
0;5208;85;0.000890251;0.00088035;1.01125;1.38528e-08;1.55606e-05;0.00113868;0;0.00249771;0;0.00414565;0;0.274668;0;1;3;1;1
1;5210;5206;0.00181559;0.00178497;1.01715;4.45487e-09;2.45368e-06;0.00124496;4.62166e-05;0.00135477;1.48499e-05;0.00155872;6.99339e-05;0.80165;0.0656175;3;3;2;1
2;7;5213;0.00149925;0.00147311;1.01774;2.27015e-08;1.51419e-05;0.00160304;0.000203231;0.00225172;1.21853e-05;0.00349517;0.000302046;0.467157;0.0985171;1;3;2;1
3;25;5209;0.00186614;0.00184664;1.01056;3.22824e-08;1.7299e-05;0.00153216;4.39843e-05;0.00252485;0.000619802;0.00375622;0.00125083;0.454388;0.139602;1;3;2;1
4;36;37;0.00330237;0.00252092;1.30999;1.22661e-08;3.71435e-06;0.000381705;0.000121239;0.000815531;0.000622076;0.00121169;0.00109549;0.503331;0.277605;1;1;7;1
5;52;5214;0.00208436;0.00207084;1.00653;1.35477e-08;6.49968e-06;0.000808355;3.56489e-05;0.00162781;0.000388242;0.00254623;0.000785192;0.355604;0.12366;1;3;2;1
6;123;5215;0.0014598;0.00145547;1.00298;1.2022e-08;8.23539e-06;0.000757421;2.15924e-06;0.00162834;0.000125525;0.00298844;1.69199e-05;0.253463;0.00215758;1;3;2;1
7;15;5216;0.00202017;0.00187441;1.07776;9.58101e-09;4.74269e-06;0.000537107;2.96732e-05;0.00168336;0.000691292;0.00333606;0.00140934;0.191702;0.0791969;1;3;3;1
8;5208;129;0.00413497;0.00395669;1.04506;8.54358e-09;2.06618e-06;0.000659897;0.000118535;0.000827916;0.000174796;0.00105388;0.000285816;0.652604;0.116325;1;3;9;0
9;5206;5220;0.00301829;0.00295496;1.02143;1.36087e-08;4.50875e-06;0.00136004;0.00027503;0.00176928;7.87456e-05;0.00212628;0.000224389;0.661784;0.211542;3;3;4;1
10;92;5211;0.00446016;0.0041104;1.08509;2.08097e-08;4.66569e-06;0.000667542;0.000240658;0.0012892;0.000292585;0.00205724;0.000562808;0.346527;0.146922;1;3;9;1
11;107;5212;0.00181541;0.00171612;1.05785;1.12897e-08;6.21884e-06;0.00146046;0.000132363;0.00169926;9.37267e-05;0.00202494;5.68021e-05;0.720441;0.0508881;1;3;3;1
12;108;111;0.00409591;0.00314963;1.30044;2.01081e-07;4.90932e-05;0.000916499;0.000584189;0.00300151;0.00137072;0.00504765;0.00189727;0.16954;0.0738179;1;1;8;1
13;130;5209;0.00371611;0.00356515;1.04234;1.89789e-08;5.1072e-06;0.000989443;0.000252117;0.00136151;0.000267859;0.00185523;0.000397022;0.542813;0.111415;1;3;8;0
14;45;5217;0.00304163;0.00289313;1.05133;1.32425e-08;4.35377e-06;0.00078783;0.000150783;0.00123671;0.000111226;0.00168687;0.000357912;0.489287;0.133669;1;3;5;1
15;69;5218;0.00238071;0.00204575;1.16374;3.14892e-08;1.32268e-05;0.00178445;0.000307831;0.00249875;0.000324627;0.00344941;0.000471365;0.524486;0.109653;1;3;4;1
16;80;5219;0.00270897;0.0025515;1.06172;3.07569e-08;1.13537e-05;0.00108377;0.000145148;0.00234288;0.000678944;0.0037876;0.00133536;0.346503;0.176522;1;3;5;1
17;5210;5211;0.00184282;0.00151917;1.21305;1.02523e-08;5.56336e-06;0.00127067;0.000295128;0.00188348;0.000263563;0.00258575;0.000115664;0.487231;0.0936802;3;3;3;0
18;120;5225;0.00232918;0.00227873;1.02214;2.19692e-08;9.43215e-06;0.000622645;4.95305e-05;0.00222655;0.000740795;0.00393679;0.00142438;0.193629;0.104774;1;4;4;1
19;125;5221;0.00502408;0.00453282;1.10838;2.17861e-08;4.33634e-06;0.000801838;0.00014048;0.00120796;0.000246802;0.00167871;0.000560286;0.507637;0.120541;1;3;9;1
20;23;5226;0.00265031;0.00262634;1.00913;1.14728e-08;4.32885e-06;0.000691981;0.00015075;0.00124825;0.000138915;0.00180346;0.000365767;0.410158;0.160021;1;4;5;1
21;44;138;0.00373904;0.00343223;1.08939;7.68922e-09;2.05647e-06;0.000499809;9.70578e-05;0.000906738;0.000171027;0.00148292;0.000383052;0.364319;0.115821;1;1;7;1
22;48;5217;0.00375947;0.00324657;1.15798;9.28196e-08;2.46896e-05;0.000651179;9.8678e-05;0.00353227;0.00195235;0.00601925;0.00348724;0.177712;0.157521;1;3;7;1
23;135;5218;0.00422775;0.00405344;1.043;1.37308e-08;3.24777e-06;0.000778026;0.000326812;0.0011888;0.000345528;0.00171827;0.000481782;0.465644;0.207944;1;3;8;0
24;73;5222;0.00245582;0.00239481;1.02548;2.83769e-08;1.15549e-05;0.0016618;0.000155512;0.0027681;2.29767e-05;0.00362139;8.80276e-05;0.45845;0.0369689;1;3;5;1
25;75;5219;0.00573079;0.00514836;1.11313;2.8621e-08;4.99425e-06;0.000750107;0.000251476;0.00135517;0.000321863;0.00225803;0.000731421;0.3469;0.114097;1;3;11;1
26;5210;5220;0.00632406;0.00325185;1.94476;2.45933e-08;3.88885e-06;0.00086923;0.000295336;0.00122156;0.000324417;0.00164758;0.000444266;0.532389;0.147484;3;3;13;0
27;89;5220;0.00475985;0.0039239;1.21304;1.30595e-08;2.74367e-06;0.000501713;0.00014807;0.000906417;0.000337642;0.00127577;0.000545675;0.422152;0.112024;1;3;9;1
28;5212;99;0.00580055;0.00464171;1.24966;3.40523e-08;5.87052e-06;0.000706605;0.000401888;0.00174165;0.000386276;0.00284108;0.000705632;0.276972;0.19144;1;3;11;1
29;102;5223;0.00299998;0.00286621;1.04667;3.41743e-08;1.13915e-05;0.0013691;0.000163348;0.00214655;0.00049703;0.00319505;0.00122292;0.478311;0.139724;1;3;6;1
30;110;5227;0.00326766;0.00316192;1.03344;2.55697e-08;7.82508e-06;0.000804423;0.000135587;0.0017642;0.000268881;0.00270924;0.000697655;0.328859;0.134507;1;4;5;1
31;114;5224;0.00281394;0.00275594;1.02105;1.35477e-08;4.81449e-06;0.000901688;0.000123776;0.00139296;0.00013706;0.00203068;0.000325428;0.453853;0.0806639;1;3;5;1
32;5221;127;0.00670774;0.00540137;1.24186;4.7722e-08;7.11446e-06;0.00077;0.00015012;0.00143859;0.000469511;0.00202019;0.000897633;0.408175;0.0846905;1;3;12;1
33;31;30;0.00789993;0.00299838;2.63474;6.16969e-08;7.8098e-06;0.00088196;0.000470108;0.00152825;0.000753908;0.00227604;0.0010726;0.391376;0.0952375;1;1;15;1
34;55;5232;0.00355142;0.00341463;1.04006;2.48374e-08;6.99366e-06;0.000939887;0.000140771;0.00168633;0.000176759;0.00264718;0.000402416;0.35836;0.0493647;1;3;6;1
35;5232;59;0.00470982;0.00453852;1.03774;1.45241e-08;3.08379e-06;0.0005915;0.000251709;0.00111154;0.000277392;0.0017978;0.000445327;0.349484;0.15291;1;3;8;1
36;132;72;0.00751855;0.00626226;1.20061;2.5075e-07;3.33509e-05;0.000514669;0.000160806;0.00199625;0.00187446;0.00368405;0.00294136;0.234589;0.203629;1;1;15;1
37;90;5233;0.00366129;0.00346967;1.05523;5.60825e-08;1.53177e-05;0.00120982;0.000236512;0.00230824;0.00019682;0.00372641;0.000404245;0.332882;0.092693;1;3;6;1
38;5206;5234;0.00429482;0.0040894;1.05023;3.39912e-08;7.91447e-06;0.00139146;0.000152731;0.00194925;0.000146857;0.00285573;0.000401424;0.501739;0.116512;3;3;7;1
39;119;5228;0.00316679;0.00299837;1.05617;2.12369e-08;6.70613e-06;0.00096348;9.85305e-05;0.00159392;0.000303097;0.00288522;0.000846529;0.373592;0.141807;1;3;6;1
40;121;5236;0.0033312;0.00309169;1.07747;1.36697e-08;4.10354e-06;0.00105728;0.00034776;0.00137421;0.000201637;0.00169695;9.01585e-05;0.615666;0.186469;1;4;6;1
41;5215;5229;0.00170227;0.00168573;1.00981;8.48255e-09;4.9831e-06;0.00122331;0.000102818;0.00183715;0.000201597;0.00279834;0.000158506;0.436473;0.0120192;3;3;2;0
42;5215;5221;0.00500346;0.00461381;1.08445;3.19774e-08;6.39105e-06;0.000885344;0.000307467;0.00160059;0.000449968;0.00234554;0.000520584;0.373468;0.0730325;3;3;9;0
43;43;5230;0.00379446;0.00356515;1.06432;8.23235e-08;2.16957e-05;0.00135759;0.000395416;0.00285602;0.000585844;0.00472647;0.000585036;0.284203;0.059618;1;3;7;1
44;5217;5230;0.00252704;0.00252093;1.00242;1.52564e-08;6.03726e-06;0.00127743;0.000166456;0.00168627;0.000152063;0.0021815;0.000384454;0.601771;0.11469;3;3;3;0
45;139;5214;0.00662078;0.00638888;1.0363;3.1062e-08;4.69159e-06;0.00074447;0.000242232;0.0012846;0.000356815;0.00208574;0.00070058;0.405476;0.181752;1;3;11;0
46;50;5231;0.00379411;0.00354334;1.07077;5.68758e-08;1.49906e-05;0.00162965;0.000192685;0.00260904;0.000498038;0.00349765;0.000933476;0.508726;0.169001;1;3;7;1
47;74;5222;0.00833745;0.00329397;2.53113;7.53666e-08;9.03952e-06;0.00101806;0.000340303;0.00179898;0.000235423;0.00302505;0.000477017;0.353512;0.148522;1;3;19;1
48;101;5235;0.00398401;0.00393704;1.01193;4.7722e-08;1.19784e-05;0.00133549;0.000122698;0.0021197;0.000104088;0.00301035;0.000189766;0.44744;0.0662864;1;3;7;1
49;0;5237;0.00368955;0.00362978;1.01647;4.47318e-08;1.21239e-05;0.000712552;0.000160912;0.00219533;0.000698496;0.00410457;0.00142844;0.212644;0.129692;1;3;8;1
50;8;5238;0.00400821;0.00365107;1.09782;2.02605e-08;5.05474e-06;0.00109536;0.000187849;0.00141801;0.000240689;0.00184166;0.000286414;0.595057;0.042319;1;3;8;1
51;19;5239;0.00455481;0.00450616;1.0108;3.47846e-08;7.63689e-06;0.000723584;0.000136803;0.00152258;0.000317108;0.00255706;0.000624875;0.301471;0.0906219;1;3;8;1
